"Step","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","6.4265947341918945","6.4265947341918945","6.4265947341918945","7.278107643127441","7.278107643127441","7.278107643127441","2.9096484184265137","2.9096484184265137","2.9096484184265137"
"59","7.9568328857421875","7.9568328857421875","7.9568328857421875","9.22629451751709","9.22629451751709","9.22629451751709","2.8691890239715576","2.8691890239715576","2.8691890239715576"
"89","6.236767292022705","6.236767292022705","6.236767292022705","9.45092487335205","9.45092487335205","9.45092487335205","2.838472843170166","2.838472843170166","2.838472843170166"
"119","5.186830997467041","5.186830997467041","5.186830997467041","8.212249755859375","8.212249755859375","8.212249755859375","2.579111337661743","2.579111337661743","2.579111337661743"
"149","43.44779586791992","43.44779586791992","43.44779586791992","63.17808532714844","63.17808532714844","63.17808532714844","2.271595001220703","2.271595001220703","2.271595001220703"
"179","45.838417053222656","45.838417053222656","45.838417053222656","63.87892532348633","63.87892532348633","63.87892532348633","2.217494249343872","2.217494249343872","2.217494249343872"
"209","4.140712261199951","4.140712261199951","4.140712261199951","6.424172878265381","6.424172878265381","6.424172878265381","2.0670602321624756","2.0670602321624756","2.0670602321624756"
"239","3.945960521697998","3.945960521697998","3.945960521697998","5.309205055236816","5.309205055236816","5.309205055236816","1.8683652877807617","1.8683652877807617","1.8683652877807617"
"269","3.984614133834839","3.984614133834839","3.984614133834839","5.561126708984375","5.561126708984375","5.561126708984375","2.1354756355285645","2.1354756355285645","2.1354756355285645"
"299","3.58200740814209","3.58200740814209","3.58200740814209","5.219385147094727","5.219385147094727","5.219385147094727","1.8648618459701538","1.8648618459701538","1.8648618459701538"
"329","59.49387741088867","59.49387741088867","59.49387741088867","32.262447357177734","32.262447357177734","32.262447357177734","10.927978515625","10.927978515625","10.927978515625"
"359","51.526611328125","51.526611328125","51.526611328125","25.123682022094727","25.123682022094727","25.123682022094727","7.255582332611084","7.255582332611084","7.255582332611084"
"389","47.93291473388672","47.93291473388672","47.93291473388672","22.462366104125977","22.462366104125977","22.462366104125977","6.83814811706543","6.83814811706543","6.83814811706543"
"419","49.615272521972656","49.615272521972656","49.615272521972656","21.397472381591797","21.397472381591797","21.397472381591797","6.580220699310303","6.580220699310303","6.580220699310303"
"449","45.31424331665039","45.31424331665039","45.31424331665039","18.13947105407715","18.13947105407715","18.13947105407715","6.352441310882568","6.352441310882568","6.352441310882568"
"479","48.455867767333984","48.455867767333984","48.455867767333984","19.91602325439453","19.91602325439453","19.91602325439453","5.92788553237915","5.92788553237915","5.92788553237915"
"509","46.999080657958984","46.999080657958984","46.999080657958984","20.227928161621094","20.227928161621094","20.227928161621094","5.908329963684082","5.908329963684082","5.908329963684082"
