"Step","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"10199","157.9247589111328","157.9247589111328","157.9247589111328","235.4580078125","235.4580078125","235.4580078125","65.21660614013672","65.21660614013672","65.21660614013672","157.45230102539062","157.45230102539062","157.45230102539062","225.6583709716797","225.6583709716797","225.6583709716797","116.3907699584961","116.3907699584961","116.3907699584961"
"10799","149.80630493164062","149.80630493164062","149.80630493164062","221.9988250732422","221.9988250732422","221.9988250732422","63.60625076293945","63.60625076293945","63.60625076293945","149.4584197998047","149.4584197998047","149.4584197998047","212.90049743652344","212.90049743652344","212.90049743652344","113.1282730102539","113.1282730102539","113.1282730102539"
"11399","142.1444549560547","142.1444549560547","142.1444549560547","211.6673126220703","211.6673126220703","211.6673126220703","61.39773178100586","61.39773178100586","61.39773178100586","141.70510864257812","141.70510864257812","141.70510864257812","202.75244140625","202.75244140625","202.75244140625","109.423828125","109.423828125","109.423828125"
"11999","135.5771484375","135.5771484375","135.5771484375","202.5672607421875","202.5672607421875","202.5672607421875","60.51980209350586","60.51980209350586","60.51980209350586","135.2184600830078","135.2184600830078","135.2184600830078","193.997314453125","193.997314453125","193.997314453125","106.95439910888672","106.95439910888672","106.95439910888672"
"12599","127.5347671508789","127.5347671508789","127.5347671508789","191.90185546875","191.90185546875","191.90185546875","58.21142578125","58.21142578125","58.21142578125","127.20488739013672","127.20488739013672","127.20488739013672","184.0003662109375","184.0003662109375","184.0003662109375","103.0296401977539","103.0296401977539","103.0296401977539"
"13199","124.42829895019531","124.42829895019531","124.42829895019531","184.1759796142578","184.1759796142578","184.1759796142578","56.652320861816406","56.652320861816406","56.652320861816406","124.1429672241211","124.1429672241211","124.1429672241211","176.5028839111328","176.5028839111328","176.5028839111328","100.64643859863281","100.64643859863281","100.64643859863281"
"13799","118.34602355957031","118.34602355957031","118.34602355957031","174.7186279296875","174.7186279296875","174.7186279296875","55.04523849487305","55.04523849487305","55.04523849487305","118.0547103881836","118.0547103881836","118.0547103881836","167.324951171875","167.324951171875","167.324951171875","97.3291244506836","97.3291244506836","97.3291244506836"
"14399","114.3581314086914","114.3581314086914","114.3581314086914","167.84426879882812","167.84426879882812","167.84426879882812","53.50759506225586","53.50759506225586","53.50759506225586","114.08513641357422","114.08513641357422","114.08513641357422","160.96926879882812","160.96926879882812","160.96926879882812","94.7801284790039","94.7801284790039","94.7801284790039"
"14999","111.31318664550781","111.31318664550781","111.31318664550781","162.9379119873047","162.9379119873047","162.9379119873047","52.51848220825195","52.51848220825195","52.51848220825195","111.0095443725586","111.0095443725586","111.0095443725586","156.3739471435547","156.3739471435547","156.3739471435547","92.59809875488281","92.59809875488281","92.59809875488281"
"15599","107.8926010131836","107.8926010131836","107.8926010131836","156.38633728027344","156.38633728027344","156.38633728027344","51.52961349487305","51.52961349487305","51.52961349487305","107.6718978881836","107.6718978881836","107.6718978881836","150.0717315673828","150.0717315673828","150.0717315673828","90.95600891113281","90.95600891113281","90.95600891113281"
"16199","102.55322265625","102.55322265625","102.55322265625","150.9966278076172","150.9966278076172","150.9966278076172","50.38894271850586","50.38894271850586","50.38894271850586","102.321044921875","102.321044921875","102.321044921875","144.9808349609375","144.9808349609375","144.9808349609375","88.9283447265625","88.9283447265625","88.9283447265625"
"16799","99.6650390625","99.6650390625","99.6650390625","144.671630859375","144.671630859375","144.671630859375","49.3948974609375","49.3948974609375","49.3948974609375","99.41863250732422","99.41863250732422","99.41863250732422","139.1569061279297","139.1569061279297","139.1569061279297","86.7879409790039","86.7879409790039","86.7879409790039"
"17399","96.54082489013672","96.54082489013672","96.54082489013672","138.19761657714844","138.19761657714844","138.19761657714844","48.00954818725586","48.00954818725586","48.00954818725586","96.296875","96.296875","96.296875","133.09365844726562","133.09365844726562","133.09365844726562","84.86376953125","84.86376953125","84.86376953125"
"17999","95.1059799194336","95.1059799194336","95.1059799194336","134.2879180908203","134.2879180908203","134.2879180908203","47.087135314941406","47.087135314941406","47.087135314941406","94.95051574707031","94.95051574707031","94.95051574707031","129.406005859375","129.406005859375","129.406005859375","82.6039810180664","82.6039810180664","82.6039810180664"
"18599","91.3304214477539","91.3304214477539","91.3304214477539","130.20632934570312","130.20632934570312","130.20632934570312","46.49609375","46.49609375","46.49609375","91.2176513671875","91.2176513671875","91.2176513671875","125.3187255859375","125.3187255859375","125.3187255859375","81.93596649169922","81.93596649169922","81.93596649169922"
"19199","89.8333969116211","89.8333969116211","89.8333969116211","124.8312759399414","124.8312759399414","124.8312759399414","45.41010665893555","45.41010665893555","45.41010665893555","89.59209442138672","89.59209442138672","89.59209442138672","120.5780258178711","120.5780258178711","120.5780258178711","79.9410400390625","79.9410400390625","79.9410400390625"
"19799","86.8266830444336","86.8266830444336","86.8266830444336","120.52886199951172","120.52886199951172","120.52886199951172","44.655860900878906","44.655860900878906","44.655860900878906","86.7153549194336","86.7153549194336","86.7153549194336","116.5228500366211","116.5228500366211","116.5228500366211","78.58125305175781","78.58125305175781","78.58125305175781"
