"Step","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","5.723535537719727","5.723535537719727","5.723535537719727","5.676928520202637","5.676928520202637","5.676928520202637","1.7473191022872925","1.7473191022872925","1.7473191022872925"
"59","6.359633445739746","6.359633445739746","6.359633445739746","6.761885166168213","6.761885166168213","6.761885166168213","0.48945480585098267","0.48945480585098267","0.48945480585098267"
"89","4.821484565734863","4.821484565734863","4.821484565734863","6.777058124542236","6.777058124542236","6.777058124542236","0.30084145069122314","0.30084145069122314","0.30084145069122314"
"119","4.489203453063965","4.489203453063965","4.489203453063965","6.164813041687012","6.164813041687012","6.164813041687012","0.27574726939201355","0.27574726939201355","0.27574726939201355"
"149","36.75729751586914","36.75729751586914","36.75729751586914","43.93610382080078","43.93610382080078","43.93610382080078","0.350980281829834","0.350980281829834","0.350980281829834"
"179","36.69633865356445","36.69633865356445","36.69633865356445","42.165916442871094","42.165916442871094","42.165916442871094","0.34373438358306885","0.34373438358306885","0.34373438358306885"
"209","3.526843786239624","3.526843786239624","3.526843786239624","4.677945613861084","4.677945613861084","4.677945613861084","0.26678696274757385","0.26678696274757385","0.26678696274757385"
"239","3.205815315246582","3.205815315246582","3.205815315246582","3.9833526611328125","3.9833526611328125","3.9833526611328125","0.2533697783946991","0.2533697783946991","0.2533697783946991"
"269","3.251155376434326","3.251155376434326","3.251155376434326","4.078169822692871","4.078169822692871","4.078169822692871","0.2552855312824249","0.2552855312824249","0.2552855312824249"
"299","2.8843095302581787","2.8843095302581787","2.8843095302581787","3.7658331394195557","3.7658331394195557","3.7658331394195557","0.2379540652036667","0.2379540652036667","0.2379540652036667"
"329","7.252031326293945","7.252031326293945","7.252031326293945","4.395064830780029","4.395064830780029","4.395064830780029","0.4561591148376465","0.4561591148376465","0.4561591148376465"
"359","6.551671504974365","6.551671504974365","6.551671504974365","4.310619831085205","4.310619831085205","4.310619831085205","0.5599656701087952","0.5599656701087952","0.5599656701087952"
"389","5.958317756652832","5.958317756652832","5.958317756652832","4.1325225830078125","4.1325225830078125","4.1325225830078125","0.6381528377532959","0.6381528377532959","0.6381528377532959"
"419","5.334686279296875","5.334686279296875","5.334686279296875","3.7834584712982178","3.7834584712982178","3.7834584712982178","0.7291070222854614","0.7291070222854614","0.7291070222854614"
"449","5.288331031799316","5.288331031799316","5.288331031799316","3.824829339981079","3.824829339981079","3.824829339981079","0.8074976801872253","0.8074976801872253","0.8074976801872253"
"479","5.084725856781006","5.084725856781006","5.084725856781006","3.80240797996521","3.80240797996521","3.80240797996521","0.9717161059379578","0.9717161059379578","0.9717161059379578"
"509","5.462934494018555","5.462934494018555","5.462934494018555","3.839592218399048","3.839592218399048","3.839592218399048","1.2179189920425415","1.2179189920425415","1.2179189920425415"
"539","10.033814430236816","10.033814430236816","10.033814430236816","20.890722274780273","20.890722274780273","20.890722274780273","1.3101046085357666","1.3101046085357666","1.3101046085357666"
"569","4.341681480407715","4.341681480407715","4.341681480407715","3.703504800796509","3.703504800796509","3.703504800796509","1.1793835163116455","1.1793835163116455","1.1793835163116455"
"599","4.516188621520996","4.516188621520996","4.516188621520996","3.588757276535034","3.588757276535034","3.588757276535034","1.3724064826965332","1.3724064826965332","1.3724064826965332"
"629","4.7602081298828125","4.7602081298828125","4.7602081298828125","3.6384336948394775","3.6384336948394775","3.6384336948394775","1.1909916400909424","1.1909916400909424","1.1909916400909424"
