"Step","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","8953.580078125","8953.580078125","8953.580078125","2252.971435546875","2252.971435546875","2252.971435546875","5.543241500854492","5.543241500854492","5.543241500854492","8954.203125","8954.203125","8954.203125","2253.61083984375","2253.61083984375","2253.61083984375","11.812216758728027","11.812216758728027","11.812216758728027"
"59","5331.2587890625","5331.2587890625","5331.2587890625","1161.1937255859375","1161.1937255859375","1161.1937255859375","3.078632116317749","3.078632116317749","3.078632116317749","5326.62353515625","5326.62353515625","5326.62353515625","1159.3643798828125","1159.3643798828125","1159.3643798828125","8.286088943481445","8.286088943481445","8.286088943481445"
"89","4236.55029296875","4236.55029296875","4236.55029296875","842.7007446289062","842.7007446289062","842.7007446289062","2.2677650451660156","2.2677650451660156","2.2677650451660156","4233.21142578125","4233.21142578125","4233.21142578125","839.4614868164062","839.4614868164062","839.4614868164062","4.7498369216918945","4.7498369216918945","4.7498369216918945"
"119","3352.98486328125","3352.98486328125","3352.98486328125","709.7185668945312","709.7185668945312","709.7185668945312","2.171750068664551","2.171750068664551","2.171750068664551","3350.0712890625","3350.0712890625","3350.0712890625","706.4873046875","706.4873046875","706.4873046875","3.4986705780029297","3.4986705780029297","3.4986705780029297"
"149","41502.52734375","41502.52734375","41502.52734375","32472.228515625","32472.228515625","32472.228515625","2.515658140182495","2.515658140182495","2.515658140182495","41485.734375","41485.734375","41485.734375","32443.638671875","32443.638671875","32443.638671875","4.00801944732666","4.00801944732666","4.00801944732666"
"179","33039.7734375","33039.7734375","33039.7734375","25551.76171875","25551.76171875","25551.76171875","1.506394624710083","1.506394624710083","1.506394624710083","33021.6875","33021.6875","33021.6875","25519.51171875","25519.51171875","25519.51171875","2.578110694885254","2.578110694885254","2.578110694885254"
"209","2496.0380859375","2496.0380859375","2496.0380859375","478.6932678222656","478.6932678222656","478.6932678222656","1.435904622077942","1.435904622077942","1.435904622077942","2493.83203125","2493.83203125","2493.83203125","476.0974426269531","476.0974426269531","476.0974426269531","2.0451290607452393","2.0451290607452393","2.0451290607452393"
"239","2189.9453125","2189.9453125","2189.9453125","440.4962158203125","440.4962158203125","440.4962158203125","1.2938729524612427","1.2938729524612427","1.2938729524612427","2187.905517578125","2187.905517578125","2187.905517578125","438.16802978515625","438.16802978515625","438.16802978515625","1.8869822025299072","1.8869822025299072","1.8869822025299072"
"269","2051.96044921875","2051.96044921875","2051.96044921875","364.95245361328125","364.95245361328125","364.95245361328125","0.978455126285553","0.978455126285553","0.978455126285553","2049.66455078125","2049.66455078125","2049.66455078125","362.76373291015625","362.76373291015625","362.76373291015625","1.3978954553604126","1.3978954553604126","1.3978954553604126"
"299","1915.19775390625","1915.19775390625","1915.19775390625","378.82037353515625","378.82037353515625","378.82037353515625","1.2476511001586914","1.2476511001586914","1.2476511001586914","1913.181640625","1913.181640625","1913.181640625","376.8269348144531","376.8269348144531","376.8269348144531","1.7312872409820557","1.7312872409820557","1.7312872409820557"
"329","813.1862182617188","813.1862182617188","813.1862182617188","159.66781616210938","159.66781616210938","159.66781616210938","18.402372360229492","18.402372360229492","18.402372360229492","812.2388305664062","812.2388305664062","812.2388305664062","158.89906311035156","158.89906311035156","158.89906311035156","27.91999626159668","27.91999626159668","27.91999626159668"
"359","868.7645263671875","868.7645263671875","868.7645263671875","179.5887451171875","179.5887451171875","179.5887451171875","14.705516815185547","14.705516815185547","14.705516815185547","868.7826538085938","868.7826538085938","868.7826538085938","179.6394500732422","179.6394500732422","179.6394500732422","22.99127960205078","22.99127960205078","22.99127960205078"
"389","931.9906005859375","931.9906005859375","931.9906005859375","163.05032348632812","163.05032348632812","163.05032348632812","11.070175170898438","11.070175170898438","11.070175170898438","933.3413696289062","933.3413696289062","933.3413696289062","162.1369171142578","162.1369171142578","162.1369171142578","16.176441192626953","16.176441192626953","16.176441192626953"
"419","793.0165405273438","793.0165405273438","793.0165405273438","175.09332275390625","175.09332275390625","175.09332275390625","15.617616653442383","15.617616653442383","15.617616653442383","789.282958984375","789.282958984375","789.282958984375","175.1846466064453","175.1846466064453","175.1846466064453","22.268278121948242","22.268278121948242","22.268278121948242"
"449","799.3287353515625","799.3287353515625","799.3287353515625","152.83712768554688","152.83712768554688","152.83712768554688","11.84203052520752","11.84203052520752","11.84203052520752","795.2989501953125","795.2989501953125","795.2989501953125","153.6502685546875","153.6502685546875","153.6502685546875","16.24704360961914","16.24704360961914","16.24704360961914"
"479","659.1195678710938","659.1195678710938","659.1195678710938","137.1852569580078","137.1852569580078","137.1852569580078","14.566227912902832","14.566227912902832","14.566227912902832","654.4794921875","654.4794921875","654.4794921875","136.16732788085938","136.16732788085938","136.16732788085938","19.9461612701416","19.9461612701416","19.9461612701416"
"509","653.2850952148438","653.2850952148438","653.2850952148438","128.00985717773438","128.00985717773438","128.00985717773438","17.049169540405273","17.049169540405273","17.049169540405273","650.1372680664062","650.1372680664062","650.1372680664062","126.36412048339844","126.36412048339844","126.36412048339844","23.582576751708984","23.582576751708984","23.582576751708984"
"539","666.6146850585938","666.6146850585938","666.6146850585938","165.2616729736328","165.2616729736328","165.2616729736328","10.056089401245117","10.056089401245117","10.056089401245117","660.5577392578125","660.5577392578125","660.5577392578125","176.81105041503906","176.81105041503906","176.81105041503906","13.734431266784668","13.734431266784668","13.734431266784668"
"569","633.4175415039062","633.4175415039062","633.4175415039062","118.22364807128906","118.22364807128906","118.22364807128906","8.892465591430664","8.892465591430664","8.892465591430664","627.4356689453125","627.4356689453125","627.4356689453125","114.79181671142578","114.79181671142578","114.79181671142578","11.642224311828613","11.642224311828613","11.642224311828613"
"599","485.435302734375","485.435302734375","485.435302734375","94.95933532714844","94.95933532714844","94.95933532714844","14.873583793640137","14.873583793640137","14.873583793640137","478.4150390625","478.4150390625","478.4150390625","94.55193328857422","94.55193328857422","94.55193328857422","19.538658142089844","19.538658142089844","19.538658142089844"
"629","517.4022827148438","517.4022827148438","517.4022827148438","111.58121490478516","111.58121490478516","111.58121490478516","9.719938278198242","9.719938278198242","9.719938278198242","506.5205383300781","506.5205383300781","506.5205383300781","110.49175262451172","110.49175262451172","110.49175262451172","12.79990005493164","12.79990005493164","12.79990005493164"
"659","451.11065673828125","451.11065673828125","451.11065673828125","96.25177764892578","96.25177764892578","96.25177764892578","14.815239906311035","14.815239906311035","14.815239906311035","443.43017578125","443.43017578125","443.43017578125","96.30768585205078","96.30768585205078","96.30768585205078","19.026453018188477","19.026453018188477","19.026453018188477"
"689","397.24371337890625","397.24371337890625","397.24371337890625","107.73603057861328","107.73603057861328","107.73603057861328","10.921069145202637","10.921069145202637","10.921069145202637","385.7271728515625","385.7271728515625","385.7271728515625","101.81651306152344","101.81651306152344","101.81651306152344","14.425267219543457","14.425267219543457","14.425267219543457"
"719","432.06402587890625","432.06402587890625","432.06402587890625","82.32296752929688","82.32296752929688","82.32296752929688","10.26328182220459","10.26328182220459","10.26328182220459","424.12115478515625","424.12115478515625","424.12115478515625","79.9018325805664","79.9018325805664","79.9018325805664","12.814743041992188","12.814743041992188","12.814743041992188"
"749","431.7992858886719","431.7992858886719","431.7992858886719","78.56099700927734","78.56099700927734","78.56099700927734","8.62576961517334","8.62576961517334","8.62576961517334","419.1725158691406","419.1725158691406","419.1725158691406","75.61467742919922","75.61467742919922","75.61467742919922","10.64688491821289","10.64688491821289","10.64688491821289"
"779","376.9893798828125","376.9893798828125","376.9893798828125","81.65021514892578","81.65021514892578","81.65021514892578","9.325592041015625","9.325592041015625","9.325592041015625","366.8246154785156","366.8246154785156","366.8246154785156","79.68829345703125","79.68829345703125","79.68829345703125","11.388171195983887","11.388171195983887","11.388171195983887"
"809","472.9838562011719","472.9838562011719","472.9838562011719","266.0489196777344","266.0489196777344","266.0489196777344","6.535107135772705","6.535107135772705","6.535107135772705","463.5714111328125","463.5714111328125","463.5714111328125","228.16372680664062","228.16372680664062","228.16372680664062","7.4217753410339355","7.4217753410339355","7.4217753410339355"
"839","349.0502624511719","349.0502624511719","349.0502624511719","66.91791534423828","66.91791534423828","66.91791534423828","9.911237716674805","9.911237716674805","9.911237716674805","334.7705078125","334.7705078125","334.7705078125","64.37174987792969","64.37174987792969","64.37174987792969","12.049509048461914","12.049509048461914","12.049509048461914"
"869","488.74420166015625","488.74420166015625","488.74420166015625","171.45098876953125","171.45098876953125","171.45098876953125","7.970560073852539","7.970560073852539","7.970560073852539","509.449951171875","509.449951171875","509.449951171875","187.29627990722656","187.29627990722656","187.29627990722656","9.974061965942383","9.974061965942383","9.974061965942383"
"899","307.55084228515625","307.55084228515625","307.55084228515625","68.59102630615234","68.59102630615234","68.59102630615234","8.286742210388184","8.286742210388184","8.286742210388184","291.5027770996094","291.5027770996094","291.5027770996094","65.25789642333984","65.25789642333984","65.25789642333984","9.976509094238281","9.976509094238281","9.976509094238281"
"929","257.91094970703125","257.91094970703125","257.91094970703125","54.19651412963867","54.19651412963867","54.19651412963867","8.86650276184082","8.86650276184082","8.86650276184082","246.9438934326172","246.9438934326172","246.9438934326172","49.67713165283203","49.67713165283203","49.67713165283203","10.364909172058105","10.364909172058105","10.364909172058105"
"959","285.649169921875","285.649169921875","285.649169921875","70.7178955078125","70.7178955078125","70.7178955078125","5.595808506011963","5.595808506011963","5.595808506011963","270.14093017578125","270.14093017578125","270.14093017578125","66.58206176757812","66.58206176757812","66.58206176757812","6.7625956535339355","6.7625956535339355","6.7625956535339355"
