"Step","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","6.427610397338867","6.427610397338867","6.427610397338867","7.281154155731201","7.281154155731201","7.281154155731201","3.081530809402466","3.081530809402466","3.081530809402466"
"59","7.958260536193848","7.958260536193848","7.958260536193848","9.228604316711426","9.228604316711426","9.228604316711426","3.166868209838867","3.166868209838867","3.166868209838867"
"89","6.237917423248291","6.237917423248291","6.237917423248291","9.452165603637695","9.452165603637695","9.452165603637695","3.1509273052215576","3.1509273052215576","3.1509273052215576"
"119","5.187313079833984","5.187313079833984","5.187313079833984","8.212397575378418","8.212397575378418","8.212397575378418","2.8295834064483643","2.8295834064483643","2.8295834064483643"
"149","43.45244598388672","43.45244598388672","43.45244598388672","63.19306182861328","63.19306182861328","63.19306182861328","2.510042905807495","2.510042905807495","2.510042905807495"
"179","45.84195327758789","45.84195327758789","45.84195327758789","63.89282989501953","63.89282989501953","63.89282989501953","2.4753639698028564","2.4753639698028564","2.4753639698028564"
"209","4.141016960144043","4.141016960144043","4.141016960144043","6.424794673919678","6.424794673919678","6.424794673919678","2.3230743408203125","2.3230743408203125","2.3230743408203125"
"239","3.946406126022339","3.946406126022339","3.946406126022339","5.30942964553833","5.30942964553833","5.30942964553833","2.1059117317199707","2.1059117317199707","2.1059117317199707"
"269","3.9849419593811035","3.9849419593811035","3.9849419593811035","5.561612606048584","5.561612606048584","5.561612606048584","2.438995361328125","2.438995361328125","2.438995361328125"
"299","3.5824389457702637","3.5824389457702637","3.5824389457702637","5.220071315765381","5.220071315765381","5.220071315765381","2.098590612411499","2.098590612411499","2.098590612411499"
"329","59.52421569824219","59.52421569824219","59.52421569824219","32.30988311767578","32.30988311767578","32.30988311767578","10.099323272705078","10.099323272705078","10.099323272705078"
"359","51.55771255493164","51.55771255493164","51.55771255493164","25.16336441040039","25.16336441040039","25.16336441040039","8.221388816833496","8.221388816833496","8.221388816833496"
"389","47.96435546875","47.96435546875","47.96435546875","22.50044822692871","22.50044822692871","22.50044822692871","7.1188645362854","7.1188645362854","7.1188645362854"
"419","49.64894485473633","49.64894485473633","49.64894485473633","21.436187744140625","21.436187744140625","21.436187744140625","6.843096733093262","6.843096733093262","6.843096733093262"
"449","45.34764099121094","45.34764099121094","45.34764099121094","18.17171287536621","18.17171287536621","18.17171287536621","6.566346168518066","6.566346168518066","6.566346168518066"
