"Step","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","12086.0419921875","12086.0419921875","12086.0419921875","12052.673828125","12052.673828125","12052.673828125","12049.7265625","12049.7265625","12049.7265625","11899.478515625","11899.478515625","11899.478515625","11506.9169921875","11506.9169921875","11506.9169921875","6565.42578125","6565.42578125","6565.42578125"
"1199","12106.11328125","12106.11328125","12106.11328125","12088.72265625","12088.72265625","12088.72265625","12090.1435546875","12090.1435546875","12090.1435546875","11388.1826171875","11388.1826171875","11388.1826171875","10693.48046875","10693.48046875","10693.48046875","7850.2314453125","7850.2314453125","7850.2314453125"
"1799","12084.9833984375","12084.9833984375","12084.9833984375","12088.1328125","12088.1328125","12088.1328125","12107.7841796875","12107.7841796875","12107.7841796875","10552.1171875","10552.1171875","10552.1171875","10213.974609375","10213.974609375","10213.974609375","8546.8896484375","8546.8896484375","8546.8896484375"
"2399","12066.9658203125","12066.9658203125","12066.9658203125","12097.6162109375","12097.6162109375","12097.6162109375","12115.880859375","12115.880859375","12115.880859375","9859.3740234375","9859.3740234375","9859.3740234375","10057.7626953125","10057.7626953125","10057.7626953125","8935.0859375","8935.0859375","8935.0859375"
"2999","12027.2119140625","12027.2119140625","12027.2119140625","12050.287109375","12050.287109375","12050.287109375","12107.5341796875","12107.5341796875","12107.5341796875","9484.4296875","9484.4296875","9484.4296875","10035.8447265625","10035.8447265625","10035.8447265625","9203.2939453125","9203.2939453125","9203.2939453125"
"3599","12011.2001953125","12011.2001953125","12011.2001953125","12040.7998046875","12040.7998046875","12040.7998046875","12096.830078125","12096.830078125","12096.830078125","9221.1240234375","9221.1240234375","9221.1240234375","10140.2763671875","10140.2763671875","10140.2763671875","9384.306640625","9384.306640625","9384.306640625"
"4199","12027.6123046875","12027.6123046875","12027.6123046875","12031.0126953125","12031.0126953125","12031.0126953125","12082.6376953125","12082.6376953125","12082.6376953125","9255.2099609375","9255.2099609375","9255.2099609375","10415.8818359375","10415.8818359375","10415.8818359375","9558.251953125","9558.251953125","9558.251953125"
"4799","12047.5458984375","12047.5458984375","12047.5458984375","12021.4482421875","12021.4482421875","12021.4482421875","12060.625","12060.625","12060.625","9420.21875","9420.21875","9420.21875","10628.0087890625","10628.0087890625","10628.0087890625","9658.1279296875","9658.1279296875","9658.1279296875"
"5399","12035.119140625","12035.119140625","12035.119140625","11984.078125","11984.078125","11984.078125","12041.5","12041.5","12041.5","9672.1484375","9672.1484375","9672.1484375","10801.515625","10801.515625","10801.515625","9729.8291015625","9729.8291015625","9729.8291015625"
"5999","12032.626953125","12032.626953125","12032.626953125","11927.8251953125","11927.8251953125","11927.8251953125","12026.728515625","12026.728515625","12026.728515625","9975.7197265625","9975.7197265625","9975.7197265625","11022.0224609375","11022.0224609375","11022.0224609375","9775.6298828125","9775.6298828125","9775.6298828125"
