"Step","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","1035.895751953125","1035.895751953125","1035.895751953125","864.5036010742188","864.5036010742188","864.5036010742188","241.5934295654297","241.5934295654297","241.5934295654297","1034.793701171875","1034.793701171875","1034.793701171875","862.9400634765625","862.9400634765625","862.9400634765625","256.1959533691406","256.1959533691406","256.1959533691406"
"1199","800.5245971679688","800.5245971679688","800.5245971679688","650.9306030273438","650.9306030273438","650.9306030273438","213.2572479248047","213.2572479248047","213.2572479248047","799.4796752929688","799.4796752929688","799.4796752929688","648.5318603515625","648.5318603515625","648.5318603515625","219.9203643798828","219.9203643798828","219.9203643798828"
"1799","648.2177734375","648.2177734375","648.2177734375","521.36474609375","521.36474609375","521.36474609375","180.32064819335938","180.32064819335938","180.32064819335938","646.5134887695312","646.5134887695312","646.5134887695312","518.4351806640625","518.4351806640625","518.4351806640625","193.54991149902344","193.54991149902344","193.54991149902344"
"2399","550.6294555664062","550.6294555664062","550.6294555664062","442.34796142578125","442.34796142578125","442.34796142578125","159.97738647460938","159.97738647460938","159.97738647460938","548.3838500976562","548.3838500976562","548.3838500976562","439.2051696777344","439.2051696777344","439.2051696777344","175.698974609375","175.698974609375","175.698974609375"
"2999","458.3451232910156","458.3451232910156","458.3451232910156","378.5358581542969","378.5358581542969","378.5358581542969","147.806396484375","147.806396484375","147.806396484375","456.21636962890625","456.21636962890625","456.21636962890625","376.04168701171875","376.04168701171875","376.04168701171875","160.7170867919922","160.7170867919922","160.7170867919922"
"3599","404.5877380371094","404.5877380371094","404.5877380371094","334.7081298828125","334.7081298828125","334.7081298828125","138.3121337890625","138.3121337890625","138.3121337890625","402.43658447265625","402.43658447265625","402.43658447265625","332.30078125","332.30078125","332.30078125","149.3050079345703","149.3050079345703","149.3050079345703"
"4199","336.642333984375","336.642333984375","336.642333984375","302.478759765625","302.478759765625","302.478759765625","129.4624786376953","129.4624786376953","129.4624786376953","335.2877502441406","335.2877502441406","335.2877502441406","300.1853942871094","300.1853942871094","300.1853942871094","139.365966796875","139.365966796875","139.365966796875"
"4799","283.0648498535156","283.0648498535156","283.0648498535156","275.4090270996094","275.4090270996094","275.4090270996094","121.8818130493164","121.8818130493164","121.8818130493164","282.395263671875","282.395263671875","282.395263671875","273.2657165527344","273.2657165527344","273.2657165527344","131.28005981445312","131.28005981445312","131.28005981445312"
"5399","244.9143524169922","244.9143524169922","244.9143524169922","254.2035369873047","254.2035369873047","254.2035369873047","115.29634094238281","115.29634094238281","115.29634094238281","244.60107421875","244.60107421875","244.60107421875","252.22154235839844","252.22154235839844","252.22154235839844","124.5372085571289","124.5372085571289","124.5372085571289"
"5999","217.27635192871094","217.27635192871094","217.27635192871094","236.7306671142578","236.7306671142578","236.7306671142578","109.26081848144531","109.26081848144531","109.26081848144531","217.0248260498047","217.0248260498047","217.0248260498047","234.8866729736328","234.8866729736328","234.8866729736328","118.38872528076172","118.38872528076172","118.38872528076172"
