"Step","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","12088.5654296875","12088.5654296875","12088.5654296875","12054.9736328125","12054.9736328125","12054.9736328125","12079.9326171875","12079.9326171875","12079.9326171875","11903.814453125","11903.814453125","11903.814453125","11513.5986328125","11513.5986328125","11513.5986328125","6252.6943359375","6252.6943359375","6252.6943359375"
"1199","12108.1982421875","12108.1982421875","12108.1982421875","12090.40625","12090.40625","12090.40625","12115.97265625","12115.97265625","12115.97265625","11396.0576171875","11396.0576171875","11396.0576171875","10704.859375","10704.859375","10704.859375","7461.11572265625","7461.11572265625","7461.11572265625"
"1799","12087.1396484375","12087.1396484375","12087.1396484375","12089.7724609375","12089.7724609375","12089.7724609375","12130.3330078125","12130.3330078125","12130.3330078125","10564.4052734375","10564.4052734375","10564.4052734375","10227.8076171875","10227.8076171875","10227.8076171875","8254.9130859375","8254.9130859375","8254.9130859375"
"2399","12069.2197265625","12069.2197265625","12069.2197265625","12099.1201171875","12099.1201171875","12099.1201171875","12137.962890625","12137.962890625","12137.962890625","9874.2412109375","9874.2412109375","9874.2412109375","10073.4296875","10073.4296875","10073.4296875","8688.9091796875","8688.9091796875","8688.9091796875"
"2999","12029.767578125","12029.767578125","12029.767578125","12052.6240234375","12052.6240234375","12052.6240234375","12135.1962890625","12135.1962890625","12135.1962890625","9501.5361328125","9501.5361328125","9501.5361328125","10053.5263671875","10053.5263671875","10053.5263671875","8986.7958984375","8986.7958984375","8986.7958984375"
"3599","12013.9248046875","12013.9248046875","12013.9248046875","12039.49609375","12039.49609375","12039.49609375","12123.5048828125","12123.5048828125","12123.5048828125","9240.2548828125","9240.2548828125","9240.2548828125","10158.6640625","10158.6640625","10158.6640625","9170.494140625","9170.494140625","9170.494140625"
"4199","12030.2314453125","12030.2314453125","12030.2314453125","12037.4658203125","12037.4658203125","12037.4658203125","12110.25","12110.25","12110.25","9276.283203125","9276.283203125","9276.283203125","10436.2080078125","10436.2080078125","10436.2080078125","9343.9130859375","9343.9130859375","9343.9130859375"
"4799","12050.4169921875","12050.4169921875","12050.4169921875","12036.841796875","12036.841796875","12036.841796875","12095.9873046875","12095.9873046875","12095.9873046875","9444.4765625","9444.4765625","9444.4765625","10648.5078125","10648.5078125","10648.5078125","9446.982421875","9446.982421875","9446.982421875"
"5399","12041.15625","12041.15625","12041.15625","11981.7451171875","11981.7451171875","11981.7451171875","12071.7412109375","12071.7412109375","12071.7412109375","9699.796875","9699.796875","9699.796875","10817.626953125","10817.626953125","10817.626953125","9522.625","9522.625","9522.625"
"5999","12039.2841796875","12039.2841796875","12039.2841796875","11962.421875","11962.421875","11962.421875","12060.1328125","12060.1328125","12060.1328125","10007.0625","10007.0625","10007.0625","11033.12109375","11033.12109375","11033.12109375","9568.9228515625","9568.9228515625","9568.9228515625"
"6599","12056.3134765625","12056.3134765625","12056.3134765625","11942.0361328125","11942.0361328125","11942.0361328125","12048.484375","12048.484375","12048.484375","10224.36328125","10224.36328125","10224.36328125","11160.2734375","11160.2734375","11160.2734375","9598.9208984375","9598.9208984375","9598.9208984375"
"7199","12045.6455078125","12045.6455078125","12045.6455078125","11960.2646484375","11960.2646484375","11960.2646484375","12026.7099609375","12026.7099609375","12026.7099609375","10470.4921875","10470.4921875","10470.4921875","11270.6787109375","11270.6787109375","11270.6787109375","9619.1513671875","9619.1513671875","9619.1513671875"
"7799","12065.8369140625","12065.8369140625","12065.8369140625","11967.2568359375","11967.2568359375","11967.2568359375","11996.8232421875","11996.8232421875","11996.8232421875","10633.4443359375","10633.4443359375","10633.4443359375","11381.1669921875","11381.1669921875","11381.1669921875","9632.0576171875","9632.0576171875","9632.0576171875"
"8399","12062.5537109375","12062.5537109375","12062.5537109375","11941.236328125","11941.236328125","11941.236328125","11990.251953125","11990.251953125","11990.251953125","10737.90625","10737.90625","10737.90625","11440.4189453125","11440.4189453125","11440.4189453125","9644.767578125","9644.767578125","9644.767578125"
"8999","12037.6767578125","12037.6767578125","12037.6767578125","11882.654296875","11882.654296875","11882.654296875","11978.6279296875","11978.6279296875","11978.6279296875","10824.3310546875","10824.3310546875","10824.3310546875","11450.2421875","11450.2421875","11450.2421875","9646.3115234375","9646.3115234375","9646.3115234375"
